YEAR,STATE,COUNTY,total_pop
1790,Virginia,Accomack,13959
1790,Virginia,Northampton,6889
1800,Virginia,Accomack,15693
1800,Virginia,Northampton,6763
1810,Virginia,Accomack,15743
1810,Virginia,Northampton,7474
1820,Virginia,Accomack,15966
1820,Virginia,Northampton,7705
1830,Virginia,Accomack,16656
1830,Virginia,Northampton,8641
1840,Virginia,Accomack,17096
1840,Virginia,Northampton,7715
1870,Virginia,Accomack,20409
1870,Virginia,Northampton,8046
1880,Virginia,Accomack,24408
1880,Virginia,Northampton,9152
1890,Virginia,Accomack,27277
1890,Virginia,Northampton,10313
1900,Virginia,Accomack,32570
1900,Virginia,Northampton,13770
1910,Virginia,Accomack,36650
1910,Virginia,Northampton,16672
1930,Virginia,Accomack,35854
1930,Virginia,Northampton,18565
1940,Virginia,Accomack,33030
1940,Virginia,Northampton,17597
1950,Virginia,Accomack,33832
1950,Virginia,Northampton,17300
1960,Virginia,Accomack,30635
1960,Virginia,Northampton,16966
1970,Virginia,Accomack,29004
1970,Virginia,Northampton,14442
1980,Virginia,Accomack,31268
1980,Virginia,Northampton,14625
1990,Virginia,Accomack,31703
1990,Virginia,Northampton,13061
2000,Virginia,Accomack,38305
2000,Virginia,Northampton,13093
2010,Virginia,Accomack,33164
2010,Virginia,Northampton,12389
2020,Virginia,Accomack,33413
2020,Virginia,Northampton,12282
